sp_cat,sp_key,scientific_name_dataset,common_name_dataset,worms_id,gbif_id,redlist_code,rl_score,suitability,suit_rl,pct_total
mollusk,W-Msc-345694,Acrosterigma transcendens,NA,345694,NA,NA,NA,19.638037836932863,NA,NA
other,W-Hyd-284921,Acryptolaria abies,NA,284921,NA,NA,NA,52.487619969352366,NA,NA
other,W-Hyd-117679,Acryptolaria conferta,NA,117679,NA,NA,NA,35.96198996424571,NA,NA
other,W-Hyd-117681,Acryptolaria longitheca,NA,117681,NA,NA,NA,55.27364914999917,NA,NA
crustacean,SLB-12750,Actaea acantha,spinose rubble crab,422122,NA,NA,NA,46.15449043553442,NA,NA
crustacean,W-Bch-209021,Actaea polyacantha,NA,209021,NA,NA,NA,17.23234524847428,NA,NA
crustacean,W-Bch-209052,Actaeodes consobrinus,NA,1760153,NA,NA,NA,15.676154975714446,NA,NA
crustacean,W-Bch-209051,Actaeodes hirsutissimus,NA,209051,NA,NA,NA,25.440139273279172,NA,NA
crustacean,SLB-114098,Actaeodes tomentosus,NA,209053,NA,NA,NA,28.507700501531225,NA,NA
crustacean,W-Bch-209508,Actaeomorpha erosa,NA,209508,NA,NA,NA,29.874717636837534,NA,NA
mollusk,W-Msc-420530,Acteocina atrata,blackback barrel-bubble,420530,NA,NA,NA,38.45826882477129,NA,NA
mollusk,SLB-72679,Acteocina bidentata,two-tooth barrel-bubble,420538,NA,NA,NA,70.55402232067205,NA,NA
mollusk,W-Msc-420531,Acteocina bullata,striate barrel-bubble,420531,NA,NA,NA,58.887428586755355,NA,NA
mollusk,W-Msc-160065,Acteocina canaliculata,channeled barrel-bubble,160065,NA,NA,NA,62.89635187896535,NA,NA
mollusk,W-Msc-420532,Acteocina candei,NA,420532,NA,NA,NA,31.740132517167993,NA,NA
mollusk,W-Msc-581396,Acteocina culcitella,pillow barrel-bubble,581396,NA,NA,NA,40.55316045380875,NA,NA
mollusk,W-Msc-575019,Acteocina infrequens,NA,575019,NA,NA,NA,29.321997105643995,NA,NA
mollusk,W-Msc-420534,Acteocina lepta,NA,420534,NA,NA,NA,30.96003755972272,NA,NA
mollusk,W-Msc-420536,Acteocina recta,straight barrel-bubble,420536,NA,NA,NA,51.122663084909426,NA,NA
mollusk,W-Msc-420509,Acteon candens,NA,420509,NA,NA,NA,62.2155084364914,NA,NA
mollusk,W-Msc-420511,Acteon delicatus,NA,420511,NA,NA,NA,46.679473990249136,NA,NA
mollusk,W-Msc-159968,Acteon melampoides,NA,159968,NA,NA,NA,42.998518662898356,NA,NA
other,W-Hex-100930,Actinauge richardi,NA,100930,NA,NA,NA,53.51676646706587,NA,NA
other,SLB-58978,Actinauge verrilli,reticulate anemone,592915,NA,NA,NA,45.708131406749004,NA,NA
other,W-Hex-100803,Actinia equina,beadlet anemone,100803,NA,NA,NA,24.027837784760408,NA,NA
other,W-Hex-289349,Actinodendron plumosum,branching anemone,289349,NA,NA,NA,10.948001045205121,NA,NA
other,W-Hol-242106,Actinopyga caerulea,blue sea cucumber,242106,NA,DD,NA,26.51008645533141,NA,NA
